title,place_id,latitude,longitude,rating,reviews,types,type_ids,h3_r6,h3_r8,h3_r10,h3_r12
Nikusho Thaniya,ChIJnw3mmomf4jARLGw8pVT0HE0,13.7304423,100.53295109999999,4.3,174.0,"[""Yakiniku restaurant"",""Restaurant""]","[""yakiniku_restaurant"",""restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b140d7fff,8c64a4b140f37ff
Xin Tian Di (ซิน เทียน ตี้),ChIJRffK4yuf4jARIcEK2GMqhEc,13.7296265,100.53509489999999,4.3,229.0,"[""Chinese restaurant""]","[""chinese_restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b140affff,8c64a4b140ac7ff
View Bangkok Rooftop Bar & Restaurant,ChIJR4LgSl-f4jARSMzR8x4RA3E,13.7495844,100.54066329999999,4.7,1139.0,"[""Restaurant"",""Bar""]","[""restaurant"",""bar""]",8664a4b17ffffff,8864a4b161fffff,8a64a4b1602ffff,8c64a4b160281ff
Cozii Steak and Restaurant โคซี่ สเต๊ก,ChIJQRMf7wOZ4jARQz7dlVrlE48,13.7215875,100.5165339,4.7,207.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a4b15dfffff,8a64a4b15c5ffff,8c64a4b15c5e1ff
Habibi Restaurant Halal Food,ChIJ0-lz2FqZ4jARDWZjbI0igxc,13.725644899999999,100.522981,4.8,477.0,"[""Pakistani restaurant"",""Arab restaurant"",""Indian restaurant"",""Punjabi restaurant"",""Restaurant""]","[""pakistani_restaurant"",""arab_restaurant"",""indian_restaurant"",""punjabi_restaurant"",""restaurant""]",8664a4b17ffffff,8864a4b143fffff,8a64a4b1434ffff,8c64a4b1434abff
NenNua,ChIJH9gPYIqf4jARlPz-2qkWi_Q,13.746285199999999,100.5326657,3.6,89.0,"[""Thai restaurant""]","[""thai_restaurant""]",8664a4b17ffffff,8864a4b16bfffff,8a64a4b16acffff,8c64a4b16addbff
Tasty Congee & Noodle Wantun Shop @ Siam Paragon,ChIJh6FdUHCf4jARqrUD0aXOT0Y,13.7478406,100.53494719999999,4.2,441.0,"[""Chinese restaurant"",""Cantonese restaurant"",""Chinese noodle restaurant"",""Dim sum restaurant""]","[""chinese_restaurant"",""cantonese_restaurant"",""chinese_noodle_restaurant"",""dim_sum_restaurant""]",8664a4b17ffffff,8864a4b163fffff,8a64a4b16327fff,8c64a4b163203ff
Boon Tong Kee - The Commons Saladang,ChIJM6Vbipqf4jARwRuPHoZ2QoQ,13.725899799999999,100.5385048,4.4,134.0,"[""Singaporean restaurant""]","[""singaporean_restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b14c4ffff,8c64a4b14c493ff
Thien Duong - Baan Dusit Thani,ChIJl3YhOAKf4jARheZW4VCU2rM,13.7270253,100.53605329999999,4.1,255.0,"[""Vietnamese restaurant""]","[""vietnamese_restaurant""]",8664a4b17ffffff,8864a4b141fffff,8a64a4b14037fff,8c64a4b14035dff
Simmer by Praha - Sindhorn,ChIJM1cE6die4jARadpVI5xUoiE,13.7359938,100.5451216,4.6,78.0,"[""Restaurant""]","[""restaurant""]",8664a4b17ffffff,8864a48493fffff,8a64a4b145b7fff,8c64a4b145b67ff
